"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4,R27";"R_1206";2;"22K";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_2-5mm";4;"MountingHole_2-5mm";;;
3;"U8";"SO-16-N";1;"CH340G";;;
4;"R17,R5,R7,R10,R18";"R_1206";5;"1K";;;
5;"C1,C2,C8,C15";"C_1206";4;"1 µF";;;
6;"BT1";"PINHEAD1-2";1;"LiPo";;;
7;"CON1";"USB_Micro-B";1;"USB_OTG";;;
8;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"23LC1024";;;
9;"M1";"ESP-12E";1;"ESP-12E";;;
10;"D1,D4";"SOD-323";2;"SD103";;;
11;"C3,C4,C5,C6,C10,C13,C16,C20,C7";"C_1206";9;"0.1 µF";;;
12;"C11,C14";"C_1206";2;"2.2 µF 25V";;;
13;"C12,C21";"C_1206";2;"10 µF";;;
14;"C17";"C_1206";1;"100 µF";;;
15;"C18,C19";"C_1206";2;"22 pF";;;
16;"L1,L2";"Choke_SMD_1206_Standard";2;"2.2 µH";;;
17;"P1";"Socket_Strip_Straight_1x12";1;"CONN_01X12";;;
18;"P3";"Pin_Header_Straight_2x06";1;"CONN_12";;;
19;"R2,R3,R6,R11,R12,R13,R19,R20,R23";"R_1206";9;"10K";;;
20;"R8,R14,R22,R26";"R_1206";4;"100K";;;
21;"R9";"R_1206";1;"4.99K";;;
22;"R15,R16";"R_1206";2;"1M";;;
23;"Y1";"Crystal_HC49-SD_SMD";1;"12 Mhz";;;
24;"U3";"DQFN20";1;"FXMA108";;;
25;"C9";"C_1206";1;"0.1 uF";;;
26;"D2";"LED_1206";1;"Red";;;
27;"D3";"LED_1206";1;"Green";;;
28;"Q1,Q5";"SOT-23";2;"BSS138L";;;
29;"Q2,Q6";"SOT-23";2;"MMBT3906";;;
30;"Q3,Q7,Q8";"SOT-23";3;"MMBT3904";;;
31;"Q4";"SOT-23";1;"BSS84";;;
32;"R21";"R_1206";1;"150K";;;
33;"R24,R25";"R_1206";2;"200";;;
34;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
35;"U4";"DFN-14-1EP_3x3mm_Pitch0.4mm";1;"AAT3672-4.2-1";;;
36;"U10";"SC-70-6";1;"NC7SB3157";;;
37;"SW1";"R_1206";1;"RESET";;;
38;"Ref**";"PILogo";1;"Val**";;;
