"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8";"SO-16-N";1;"CH340G";;;
2;"R17,R7,R10,R18";"R_1206";4;"1K";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_4mm";4;"MountingHole_4mm";;;
4;"C1,C2";"C_1206";2;"1 µF";;;
5;"BT1";"PINHEAD1-2";1;"BATTERY";;;
6;"CON1";"USB_Micro-B";1;"USB_OTG";;;
7;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
8;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"23LC1024";;;
9;"M1";"ESP-12E";1;"ESP-12E";;;
10;"SW1";"SW_SPST_PTS645";1;"Upload";;;
11;"U10";"SC-70-6_Handsoldering";1;"NC7SB3157";;;
12;"Q1,Q3,Q6,Q7";"SOT-23";4;"MMBT3904";;;
13;"Q2";"SOT-23";1;"MMBT3906";;;
14;"D1";"SOD-323";1;"SD103";;;
15;"C3,C4,C5,C6,C10,C13,C16,C20,C7";"C_1206";9;"0.1 µF";;;
16;"C11,C14";"C_1206";2;"2.2 µF 25V";;;
17;"C12";"C_1206";1;"10 µF";;;
18;"C17";"C_1206";1;"100 µF";;;
19;"C18,C19";"C_1206";2;"22 pF";;;
20;"L1";"Choke_SMD_1206_Standard";1;"2.2 µH";;;
21;"P1";"Socket_Strip_Straight_1x12";1;"CONN_01X12";;;
22;"P3";"Pin_Header_Straight_2x06";1;"CONN_12";;;
23;"Q4";"SOT-23";1;"BSS84";;;
24;"Q5";"SOT-23";1;"BSS138L";;;
25;"R1,R2,R3,R4,R6,R11,R12,R13,R19,R20";"R_1206";10;"10K";;;
26;"R5";"R_1206";1;"10";;;
27;"R8";"R_1206";1;"58.2K";;;
28;"R9";"R_1206";1;"4.99K";;;
29;"R14";"R_1206";1;"100K";;;
30;"R15,R16";"R_1206";2;"1M";;;
31;"SW2";"R_1206";1;"RESET";;;
32;"Y1";"Crystal_HC49-SD_SMD";1;"12 Mhz";;;
33;"U3";"DQFN20";1;"FXMA108";;;
